アプリ名,概要,機能,詳細,,アプリ連携・外部ツール,プラグイン,備考,記載日,記載者,スコープ内かどうか,実装状況
,,,,,,,,,,スコープ内,未実装
,,クラウドサインからの契約書URL連携,契約書をリンクとして保存することができる,,クラウドサイン,,契約書リンクの取得,,,スコープ内,未実装
,,クラウドサインからのステータス連携,契約書のステータス変更（締結・却下、等）を自動で反映できる,,クラウドサイン,,"以下の3つの時にwebhook発火
COMPLETED: 書類の締結完了時
CANCELED: 書類の取り消し・却下時
BOUNCED: 確認依頼メール、転送メール、締結完了メールの不達時",,,,
,,ステータスを管理,メール送付済みかどうかの管理をすることができる。,,,,,,,,
,,,,,,,,,,,
見積管理アプリ,案件に紐づく見積情報を管理する。,見積情報の登録,案件に紐づく見積情報（摘要、単価、見積日、有効期限などを入力。）を入力する。,,,,https://support.freee.co.jp/hc/ja/articles/900001692943--freee-for-kintone-%E5%88%9D%E6%9C%9F%E8%A8%AD%E5%AE%9A-3-%E6%A9%9F%E8%83%BD%E9%80%A3%E6%90%BA%E3%82%92%E8%A1%8C%E3%81%86,,,,
,,明細の登録,見積書の明細項目（品名、数量、単価、金額など）を入力する。,,,,,,,,
,,承認ルートの登録,金額が一定額を超えた場合、上長承認を必須とするなど、承認ルートを設定可能。,,,,,,,,
,,freee会計への情報連携,"承認された見積情報をkintone上の登録ボタンを用いてfreee会計に登録できる。
",,"freee会計
＞見積書",,,,,,
,,案件管理アプリからの情報のルックアップ,案件管理アプリから情報をルックアップにより取得コピーすることができる,,"案件管理アプリ
＞ルックアップ、アクションボタン",,,,,,
タスク管理アプリ（工数集計含む）,各従業員・各プロジェクトごとの工数管理をする。,タスクの登録・編集・削除,日々のタスクの作業時間や進捗を記録する。,,,,"3回目MTGにて、
Slack、勤怠の方法をヒアリング・決定する",,,,
,,タスク工数の登録・管理,"プロジェクトの想定工数を記載し、プロジェクトの工数管理をする。
各メンバーがどのプロジェクトにどれほどの工数を割いたかを記録することができる。",,freee人事労務,,,,,,実装済み
,,タスク・案件ごとの進捗の管理,タスクの進捗状況に応じてステータス（未着手、進行中、完了）を変更する。,,案件管理,,,,,,
,,社員マスタの情報参照,"担当者の氏名、人件費単価をルックアップで取得し、原価計算に利用。
",人員とその人の人件費単価をコピーすることができる。,"社員マスタ
＞ルックアップ",,"以下必要に応じて：
清算幅が選択できる。""上下割 or 中間幅が選択できる。
X円切り捨て条件も選択できる。
何分単位の清算幅になるか選択できる。""",,,,
,,タスクボード表示,カンバン形式などでタスクの進捗状況を視覚的に表示する。,,,カンバンプラグイン,,,,,
,,プロジェクト原価の計算,"案件IDとタスク名、社員ごとの入力から、該当タスクの合計作業時間と合計原価を自動で集計します。
",,,,,,,,
発注・備品管理アプリ,"freee会計の発注情報の連携をし、参照できる状態にする。
採算管理に活用する。",freee会計の発注情報の取得,案件に紐づく発注情報を取得・一覧化をする。,,freee会計,,"項目名は以下を参照
Project List>(新)発注履歴_FC以外
",,,,
,,案件管理アプリから案件情報の参照,,,,,,,,,
,,採算管理アプリへの情報連携,,,,,発注金額郷家、発注品の明細、等,,,,
請求・入金管理アプリ,freee会計との連携し、請求ステータス・入金ステータスのをkintone上で確認できるようにする。,freee会計から入金ステータスを自動取得・ステータス管理,請求前、請求中、入金済みかどうかをfreee会計から情報を取得し、kintone上で管理する,,freee会計,,https://support.freee.co.jp/hc/ja/articles/900002777086--freee-for-kintone-%E5%9F%BA%E6%9C%AC%E6%93%8D%E4%BD%9C-2-%E6%A9%9F%E8%83%BD%E9%80%A3%E6%90%BA%E3%82%92%E6%B4%BB%E7%94%A8%E3%81%99%E3%82%8B,,,,
,,freee会計から請求情報の取得,請求明細を取得する。,,,,請求の予実にズレが発生するため、freeeの情報を取得する、という方針,,,,
,,,,,,,,,,,
,,freee会計に売掛登録,請求書を送付したらfreee売掛とし登録されるため、その情報を取得し、アプリに反映させる。,,freee会計,,"
はてなデモ環境アプリ番号2733を参照",,,,
,,入金履歴の表示,freeeで消し込みがされたら、ステータスが自動変更され、入金日や金額が表示される。,,freee会計,,,,,,
採算管理アプリ,各業務アプリ（案件管理、請求管理、タスク管理、発注管理、契約書管理、備品管理など）から集約されたデータを活用し、プロジェクトや部門ごとの売上、コスト、利益といった採算状況を可視化・分析する。,案件管理アプリから該当案件の取得,案件情報を参照し、タスクと紐づけて管理する。,,,,,,,,
,,請求・入金管理アプリからプロジェクトの情報の取得,見積・請求・入金ステータス情報、実際に入金された金額の情報を取得する。,,,,,,,,
,,発注・備品管理アプリから備品コストの情報の取得,発注に係る経費、備品の管理コストなどの案件に係る情報の取得する。,,,,,,,,
,,タスク管理アプリからタスク情報の取得,見積工数、実際の工数などの情報を取得する,,,,,,,,
,,,,,,,,,,,
,,ダッシュボード/集計,契約金額と契約ステータスを基に、ダッシュボードでの集計・可視化をする。,,,https://www.comdec.jp/comdeclab/kintone-dashboard/,https://www.comdec.jp/comdeclab/kintone-dashboard/,,,,
社員マスタアプリ,従業員、または業務委託者の情報を管理する。,作業者(社員)の登録・編集・削除,"kintoneユーザーは、メンバー管理アプリから作業者の登録・参照・編集・削除を実施できる。
",,,,"人事労務の情報（給与支払い状況）とリンクさせる必要あり？
おそらくスコープアウト、オーバースペックかどうか
freee人事労務との連携の要不要確認",,,,
,,,,,,,,,,,
,,業務委託の稼働ステータスを管理,稼働状況が解消される場合もあり、その場合は削除せずにステータスだけ変更して残しておく。,,,,,,,,
,,採算管理に必要な情報を登録,人件費単価を保持することができる。,,,,,,,,
,,関連情報の確認,今までアサインされた案件を確認できる,,"案件管理
＞ルックアップ",https://www.tis2010.jp/lookupbridge/,,,,,実装中
